2013/09/10 14:09:18 insert Array 
2013/09/10 14:09:30 insert Array 
2013/09/10 15:09:32 insert user_id='6659', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/10 23:09:02 insert user_id='6660', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/11 13:09:37 insert user_id='6661', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/12 14:09:29 insert user_id='6662', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/12 15:09:07 insert user_id='6663', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/13 06:09:31 insert user_id='6664', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/13 09:09:46 insert user_id='6665', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/13 16:09:54 insert user_id='6666', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/13 20:09:34 insert user_id='6667', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/14 00:09:15 insert user_id='6668', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/14 00:09:03 insert user_id='6669', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/14 06:09:50 insert user_id='6670', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/14 08:09:39 insert user_id='6671', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/14 09:09:25 insert user_id='6672', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/14 11:09:11 insert user_id='6673', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/14 13:09:09 insert user_id='6674', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/14 19:09:01 insert user_id='6675', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/14 20:09:00 insert user_id='6676', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/14 20:09:34 insert user_id='6677', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/14 20:09:36 insert user_id='6678', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/14 20:09:37 insert user_id='6679', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/14 20:09:27 insert user_id='6680', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/14 20:09:32 insert user_id='6681', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/14 20:09:43 insert user_id='6682', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/14 20:09:34 insert user_id='6683', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/14 20:09:57 insert user_id='6684', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/14 20:09:31 insert user_id='6685', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/14 21:09:09 insert user_id='6686', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/14 21:09:23 insert user_id='6687', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/14 22:09:58 insert user_id='6688', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/15 00:09:37 insert user_id='6689', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/15 13:09:07 insert user_id='6690', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/15 13:09:22 insert user_id='6691', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/15 14:09:29 insert user_id='6692', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/15 16:09:43 insert user_id='6693', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/15 18:09:54 insert user_id='6694', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/15 20:09:09 insert user_id='6695', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/15 20:09:43 insert user_id='6696', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/15 21:09:27 insert user_id='6697', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/15 21:09:39 insert user_id='6698', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/16 13:09:01 insert user_id='6699', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/16 17:09:23 insert user_id='6700', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/16 17:09:07 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3256220310048', longitude='5.0510795', latitude='45.0351498', altitude='', date='2013-09-16 17:31:07', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Galaxy Nexus Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/16 17:09:57 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3174660055216', longitude='0', latitude='0', altitude='0', date='2013-09-16 17:45:57', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Galaxy Nexus Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/16 17:09:33 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='6695', ean='3257983156188', longitude='2.3992239', latitude='48.9749164', altitude='', date='2013-09-16 17:52:33', useragent='Mozilla/5.0 (Linux; U; Android 4.1.2; fr-fr; GT-N7100 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/16 20:09:45 insert, INSERT INTO iphone_users_stat SET user_id='6701', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='' : 
2013/09/16 20:09:14 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='6695', ean='3258561500690', longitude='2.3990906', latitude='48.974913', altitude='', date='2013-09-16 20:36:14', useragent='Mozilla/5.0 (Linux; U; Android 4.1.2; fr-fr; GT-N7100 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/16 20:09:50 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='6695', ean='8717163969229', longitude='2.399107', latitude='48.9749191', altitude='', date='2013-09-16 20:36:50', useragent='Mozilla/5.0 (Linux; U; Android 4.1.2; fr-fr; GT-N7100 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/16 20:09:32 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='6695', ean='3059942101204', longitude='2.399084', latitude='48.9749529', altitude='', date='2013-09-16 20:38:32', useragent='Mozilla/5.0 (Linux; U; Android 4.1.2; fr-fr; GT-N7100 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/16 20:09:57 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='6695', ean='3560070172139', longitude='2.3991498', latitude='48.9748502', altitude='', date='2013-09-16 20:39:57', useragent='Mozilla/5.0 (Linux; U; Android 4.1.2; fr-fr; GT-N7100 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/16 20:09:57 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='6695', ean='3257983156188', longitude='2.3991013', latitude='48.9750267', altitude='', date='2013-09-16 20:43:57', useragent='Mozilla/5.0 (Linux; U; Android 4.1.2; fr-fr; GT-N7100 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/16 20:09:21 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='6695', ean='3178040666016', longitude='2.399131', latitude='48.9749845', altitude='', date='2013-09-16 20:49:21', useragent='Mozilla/5.0 (Linux; U; Android 4.1.2; fr-fr; GT-N7100 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/16 20:09:16 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='6695', ean='3253581122433', longitude='2.3991069', latitude='48.9750081', altitude='', date='2013-09-16 20:51:16', useragent='Mozilla/5.0 (Linux; U; Android 4.1.2; fr-fr; GT-N7100 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/16 20:09:19 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='6695', ean='3178040666016', longitude='2.3991117', latitude='48.9750075', altitude='', date='2013-09-16 20:51:19', useragent='Mozilla/5.0 (Linux; U; Android 4.1.2; fr-fr; GT-N7100 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/16 20:09:22 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='6695', ean='3181734189357', longitude='2.3991119', latitude='48.9749745', altitude='', date='2013-09-16 20:54:22', useragent='Mozilla/5.0 (Linux; U; Android 4.1.2; fr-fr; GT-N7100 Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 00:09:34 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='', ean='4060800001771', longitude='5.5280512', latitude='50.6783956', altitude='', date='2013-09-17 00:02:34', useragent='Mozilla/5.0 (Linux; U; Android 4.2.2; fr-be; C6603 Build/10.3.1.A.0.244) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 00:09:04 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='', ean='4060800001771', longitude='5.5285034', latitude='50.6940435', altitude='', date='2013-09-17 00:03:04', useragent='Mozilla/5.0 (Linux; U; Android 4.2.2; fr-be; C6603 Build/10.3.1.A.0.244) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 00:09:44 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='6469', ean='3538280030631', longitude='0', latitude='0', altitude='0', date='2013-09-17 00:28:44', useragent='Mozilla/5.0 (Linux; U; Android 4.2.2; fr-fr; leo Build/JDQ39) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 00:09:40 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='6469', ean='3445850017056', longitude='0', latitude='0', altitude='0', date='2013-09-17 00:30:40', useragent='Mozilla/5.0 (Linux; U; Android 4.2.2; fr-fr; leo Build/JDQ39) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 00:09:27 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='6469', ean='3487400000392', longitude='0', latitude='0', altitude='0', date='2013-09-17 00:31:27', useragent='Mozilla/5.0 (Linux; U; Android 4.2.2; fr-fr; leo Build/JDQ39) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 00:09:22 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='6469', ean='3011360085184', longitude='0', latitude='0', altitude='0', date='2013-09-17 00:33:22', useragent='Mozilla/5.0 (Linux; U; Android 4.2.2; fr-fr; leo Build/JDQ39) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 00:09:29 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='6469', ean='3487400000392', longitude='0', latitude='0', altitude='0', date='2013-09-17 00:33:29', useragent='Mozilla/5.0 (Linux; U; Android 4.2.2; fr-fr; leo Build/JDQ39) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 00:09:37 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='6469', ean='3445850017056', longitude='0', latitude='0', altitude='0', date='2013-09-17 00:33:37', useragent='Mozilla/5.0 (Linux; U; Android 4.2.2; fr-fr; leo Build/JDQ39) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 06:09:00 insert, INSERT INTO iphone_users_stat SET user_id='6702', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='' : 
2013/09/17 09:09:01 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='5.0511352', latitude='45.0351333', altitude='', date='2013-09-17 09:16:01', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 09:09:56 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='5.0512287', latitude='45.0351106', altitude='', date='2013-09-17 09:28:56', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 09:09:08 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='5.0510924', latitude='45.0351415', altitude='', date='2013-09-17 09:30:08', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 09:09:03 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='5.0511797', latitude='45.035121', altitude='', date='2013-09-17 09:34:03', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 09:09:20 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='5.0511571', latitude='45.0351269', altitude='', date='2013-09-17 09:35:20', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 11:09:10 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='5.051248', latitude='45.0351052', altitude='', date='2013-09-17 11:51:10', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 12:09:46 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='5.0510912', latitude='45.0351413', altitude='', date='2013-09-17 12:03:46', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 12:09:53 insert, INSERT INTO iphone_users_stat SET user_id='6703', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='' : 
2013/09/17 12:09:58 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='5.0511389', latitude='45.0351353', altitude='', date='2013-09-17 12:11:58', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 12:09:13 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='5.0512764', latitude='45.0350972', altitude='', date='2013-09-17 12:19:13', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 12:09:33 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='5.0510899', latitude='45.0351425', altitude='', date='2013-09-17 12:25:33', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 13:09:10 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='5.0510915', latitude='45.03514', altitude='', date='2013-09-17 13:54:10', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 14:09:25 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='5.0511209', latitude='45.0351345', altitude='', date='2013-09-17 14:05:25', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
